instanceId,hostname,environment,networkSegment
CI-001,edge-proxy-01,production,dmz
CI-002,edge-proxy-02,production,dmz
CI-003,vpn-gateway-01,production,dmz
CI-004,mail-relay-01,production,dmz
CI-005,web-front-01,production,web-tier
CI-006,web-front-02,production,web-tier
CI-007,legacy-portal-01,production,web-tier
CI-008,app-orders-01,production,app-tier
CI-009,app-orders-02,production,app-tier
CI-010,app-payments-01,production,app-tier
CI-011,app-inventory-01,production,app-tier
CI-012,app-crm-01,production,app-tier
CI-013,db-orders-01,production,data-tier
CI-014,db-payments-01,production,data-tier
CI-015,db-analytics-01,production,data-tier
CI-016,build-runner-01,production,ci-cd
CI-017,artifact-store-01,production,ci-cd
CI-018,bastion-01,production,mgmt
CI-019,monitoring-01,production,mgmt
CI-020,staging-web-01,staging,staging-web
CI-021,dev-sandbox-01,development,dev-tier
CI-022,staging-app-01,staging,staging-app
CI-023,hr-app-01,production,hr-tier
