obligationId,title,category,reportingFrequency,inherentRiskScore,sectionId,accountableUnitId
OBL-001,Calculate and submit the K-DTF daily trading flow measure,capital-adequacy,daily,5,MIFIDPRU 4.12,BU-002
OBL-002,Evidence the measurement basis for daily trading flow,capital-adequacy,daily,4,MIFIDPRU 4.12.1,BU-002
OBL-003,Report averaged daily trading flow for the reporting period,reporting,quarterly,3,MIFIDPRU 4.12.2,BU-007
OBL-004,Disclose the operational resilience self-assessment,reporting,event-driven,3,COBS 2.2,BU-011
OBL-005,Report the K-factor requirement each business day,record-keeping,event-driven,5,DORA 4.2,BU-005
OBL-006,Retain the compliance monitoring programme,governance,quarterly,5,MIFIDPRU 2.1,BU-011
OBL-007,Assess client money segregation,governance,quarterly,4,SYSC 5.1.1,BU-011
OBL-008,Maintain transaction reports by close of the following business day,reporting,event-driven,2,MIFIDPRU 7.2,BU-004
OBL-009,Retain the register of ICT third-party arrangements,conduct,quarterly,2,DORA 3.1,BU-006
OBL-010,Monitor clearing threshold calculations,capital-adequacy,annual,4,EMIR 2.1,BU-008
OBL-011,Notify clearing threshold calculations,capital-adequacy,quarterly,3,DORA 1.3,BU-009
OBL-012,Monitor transaction reports by close of the following business day,record-keeping,annual,3,COBS 1.1,BU-002
OBL-013,Calculate and submit material outsourcing arrangements to the regulator,operational-resilience,daily,1,DORA 1.1,BU-003
OBL-014,Maintain impact tolerances for important business services,disclosure,annual,1,SYSC 3.3.1,BU-002
OBL-015,Disclose senior manager statements of responsibility,governance,quarterly,1,DORA 5.1,BU-005
OBL-016,Disclose senior manager statements of responsibility,capital-adequacy,event-driven,2,EMIR 1.3,BU-001
OBL-017,Maintain portfolio reconciliation with counterparties,reporting,quarterly,3,COBS 5.2,BU-002
OBL-018,Retain ICT incident classification and reporting thresholds,governance,quarterly,5,SYSC 5.2.1,BU-006
OBL-019,Monitor best execution outcomes for retail clients,capital-adequacy,quarterly,4,COBS 3.1.1,BU-002
OBL-020,Retain the compliance monitoring programme,capital-adequacy,ongoing,3,DORA 5.3,BU-008
OBL-021,Evidence conflicts of interest arrangements,record-keeping,daily,5,MIFIDPRU 4.2,BU-002
OBL-022,Report best execution outcomes for retail clients,reporting,quarterly,1,EMIR 3.1,BU-012
OBL-023,Retain conflicts of interest arrangements,record-keeping,annual,3,SYSC 3.4,BU-004
OBL-024,Notify the register of ICT third-party arrangements,governance,annual,1,COBS 5.1,BU-011
OBL-025,Retain own funds above the permanent minimum requirement,conduct,ongoing,2,SYSC 6.2,BU-011
OBL-026,Report material outsourcing arrangements to the regulator,reporting,quarterly,2,EMIR 3.2,BU-012
OBL-027,Calculate and submit transaction reports by close of the following business day,operational-resilience,event-driven,2,EMIR 1.4,BU-001
OBL-028,Assess own funds above the permanent minimum requirement,governance,daily,4,DORA 2.1,BU-005
OBL-029,Report material outsourcing arrangements to the regulator,disclosure,daily,2,SYSC 3.2,BU-011
OBL-030,Calculate and submit the compliance monitoring programme,capital-adequacy,monthly,1,COBS 3.1,BU-010
OBL-031,Evidence conflicts of interest arrangements,disclosure,event-driven,1,COBS 4.2,BU-009
OBL-032,Disclose the operational resilience self-assessment,record-keeping,annual,4,EMIR 5.3,BU-007
OBL-033,Report the compliance monitoring programme,governance,daily,2,MIFIDPRU 7.2.1,BU-008
OBL-034,Notify the ICARA document and its supporting analysis,reporting,event-driven,4,COBS 1.2,BU-005
OBL-035,Notify material outsourcing arrangements to the regulator,reporting,event-driven,4,COBS 5.3,BU-007
OBL-036,Monitor own funds above the permanent minimum requirement,capital-adequacy,event-driven,2,MIFIDPRU 3.1,BU-008
OBL-037,Evidence the ICARA document and its supporting analysis,reporting,quarterly,5,MIFIDPRU 1.2,BU-006
OBL-038,Report client money segregation,disclosure,annual,3,DORA 4.1,BU-005
OBL-039,Maintain the compliance monitoring programme,capital-adequacy,ongoing,3,EMIR 5.1,BU-006
OBL-040,Disclose daily trading flow measurements,disclosure,event-driven,1,SYSC 3.1,BU-004
OBL-041,Disclose senior manager statements of responsibility,record-keeping,ongoing,4,EMIR 1.2.1,BU-001
OBL-042,Report impact tolerances for important business services,capital-adequacy,quarterly,1,COBS 5.4,BU-007
OBL-043,Assess impact tolerances for important business services,conduct,event-driven,4,SYSC 5.3.1,BU-004
OBL-044,Report client money segregation,conduct,annual,3,SYSC 1.4,BU-007
OBL-045,Maintain third-party ICT concentration risk,operational-resilience,daily,2,DORA 5.2,BU-010
OBL-046,Retain conflicts of interest arrangements,record-keeping,monthly,3,COBS 3.2,BU-010
OBL-047,Assess daily trading flow measurements,reporting,annual,4,MIFIDPRU 8.1.1,BU-002
OBL-048,Review ICT incident classification and reporting thresholds,capital-adequacy,monthly,4,SYSC 2.2,BU-001
OBL-049,Evidence counterparty risk mitigation for uncleared derivatives,record-keeping,monthly,2,EMIR 2.2,BU-011
OBL-050,Report conflicts of interest arrangements,conduct,quarterly,4,MIFIDPRU 1.1.1,BU-009
OBL-051,Review material outsourcing arrangements to the regulator,governance,annual,4,EMIR 5.2,BU-002
OBL-052,Retain the operational resilience self-assessment,conduct,monthly,3,DORA 3.1.1,BU-004
OBL-053,Monitor own funds above the permanent minimum requirement,capital-adequacy,ongoing,5,COBS 4.1,BU-005
OBL-054,Evidence impact tolerances for important business services,governance,annual,3,DORA 1.4,BU-009
OBL-055,Notify impact tolerances for important business services,record-keeping,quarterly,4,MIFIDPRU 8.1,BU-004
OBL-056,Report records of all telephone and electronic communications,reporting,quarterly,4,SYSC 4.1,BU-008
OBL-057,Assess the ICARA document and its supporting analysis,reporting,monthly,4,MIFIDPRU 1.3,BU-003
OBL-058,Assess portfolio reconciliation with counterparties,capital-adequacy,ongoing,1,COBS 1.4,BU-001
OBL-059,Report records of all telephone and electronic communications,conduct,event-driven,1,SYSC 2.1,BU-011
OBL-060,Review daily trading flow measurements,capital-adequacy,ongoing,2,DORA 2.3,BU-010
OBL-061,Assess own funds above the permanent minimum requirement,operational-resilience,daily,4,MIFIDPRU 6.2,BU-005
OBL-062,Monitor material outsourcing arrangements to the regulator,conduct,daily,4,EMIR 5.4,BU-009
OBL-063,Report the ICARA document and its supporting analysis,record-keeping,event-driven,4,EMIR 4.2,BU-008
OBL-064,Maintain the ICARA document and its supporting analysis,record-keeping,ongoing,1,EMIR 5.4.1,BU-003
OBL-065,Retain client money segregation,conduct,event-driven,2,DORA 5.4,BU-004
OBL-066,Review senior manager statements of responsibility,disclosure,annual,1,MIFIDPRU 6.1,BU-001
OBL-067,Monitor ICT incident classification and reporting thresholds,disclosure,quarterly,4,SYSC 5.3,BU-007
OBL-068,Calculate and submit the ICARA document and its supporting analysis,capital-adequacy,annual,1,MIFIDPRU 2.2.1,BU-004
OBL-069,Monitor senior manager statements of responsibility,governance,annual,5,EMIR 4.1,BU-006
OBL-070,Calculate and submit the ICARA document and its supporting analysis,capital-adequacy,daily,2,SYSC 6.1,BU-004
OBL-071,Disclose ICT incident classification and reporting thresholds,governance,quarterly,3,EMIR 4.1.1,BU-007
OBL-072,Calculate and submit the compliance monitoring programme,disclosure,monthly,5,MIFIDPRU 1.1,BU-003
OBL-073,Notify transaction reports by close of the following business day,governance,event-driven,4,SYSC 1.3,BU-003
OBL-074,Retain conflicts of interest arrangements,reporting,event-driven,1,SYSC 1.1,BU-009
OBL-075,Assess the operational resilience self-assessment,record-keeping,quarterly,4,SYSC 3.3,BU-009
OBL-076,Monitor the K-factor requirement each business day,capital-adequacy,ongoing,4,COBS 2.1,BU-012
OBL-077,Assess senior manager statements of responsibility,conduct,annual,5,MIFIDPRU 8.3,BU-007
OBL-078,Retain transaction reports by close of the following business day,operational-resilience,ongoing,5,EMIR 4.3,BU-009
OBL-079,Review client money segregation,reporting,daily,2,COBS 1.3,BU-009
OBL-080,Disclose impact tolerances for important business services,conduct,monthly,1,COBS 3.3,BU-010
OBL-081,Report clearing threshold calculations,governance,ongoing,3,COBS 3.4,BU-008
OBL-082,Monitor clearing threshold calculations,conduct,monthly,2,DORA 3.2,BU-009
OBL-083,Calculate and submit own funds above the permanent minimum requirement,reporting,quarterly,3,SYSC 4.2,BU-002
OBL-084,Review client money segregation,conduct,quarterly,5,MIFIDPRU 7.1,BU-003
OBL-085,Notify records of all telephone and electronic communications,operational-resilience,event-driven,4,DORA 2.2,BU-007
OBL-086,Disclose the compliance monitoring programme,reporting,ongoing,2,DORA 4.3,BU-004
OBL-087,Assess daily trading flow measurements,disclosure,ongoing,3,DORA 2.2.1,BU-002
OBL-088,Notify third-party ICT concentration risk,operational-resilience,annual,3,MIFIDPRU 3.2,BU-006
OBL-089,Notify portfolio reconciliation with counterparties,governance,daily,1,DORA 3.2.1,BU-006
OBL-090,Maintain counterparty risk mitigation for uncleared derivatives,governance,quarterly,2,MIFIDPRU 8.2,BU-012
