station_name,tier,time_in_minutes,power_kw
CS-A1-01,top-up,15,350.0
CS-A1-01,full,40,350.0
CS-A10-01,top-up,15,250.0
CS-A10-01,full,40,250.0
CS-A10-02,top-up,15,150.0
CS-A10-02,full,40,150.0
CS-A10-03,top-up,15,250.0
CS-A10-03,full,40,250.0
CS-A10-04,top-up,15,350.0
CS-A10-04,full,40,350.0
CS-A11-01,top-up,15,175.0
CS-A11-01,full,40,175.0
CS-A11-02,top-up,15,200.0
CS-A11-02,full,40,200.0
CS-A13-01,top-up,15,200.0
CS-A13-01,full,40,200.0
CS-A13-02,top-up,15,250.0
CS-A13-02,full,40,250.0
CS-A13-03,top-up,15,200.0
CS-A13-03,full,40,200.0
CS-A20-01,top-up,15,350.0
CS-A20-01,full,40,350.0
CS-A20-02,top-up,15,200.0
CS-A20-02,full,40,200.0
CS-A26-01,top-up,15,150.0
CS-A26-01,full,40,150.0
CS-A28-01,top-up,15,200.0
CS-A28-01,full,40,200.0
CS-A29-01,top-up,15,150.0
CS-A29-01,full,40,150.0
CS-A29-02,top-up,15,175.0
CS-A29-02,full,40,175.0
CS-A31-01,top-up,15,300.0
CS-A31-01,full,40,300.0
CS-A31-02,top-up,15,175.0
CS-A31-02,full,40,175.0
CS-A36-01,top-up,15,250.0
CS-A36-01,full,40,250.0
CS-A4-01,top-up,15,350.0
CS-A4-01,full,40,350.0
CS-A4-02,top-up,15,175.0
CS-A4-02,full,40,175.0
CS-A5-01,top-up,15,175.0
CS-A5-01,full,40,175.0
CS-A6-01,top-up,15,150.0
CS-A6-01,full,40,150.0
CS-A6-02,top-up,15,150.0
CS-A6-02,full,40,150.0
CS-A61-01,top-up,15,200.0
CS-A61-01,full,40,200.0
CS-A61-02,top-up,15,350.0
CS-A61-02,full,40,350.0
CS-A62-01,top-up,15,300.0
CS-A62-01,full,40,300.0
CS-A62-02,top-up,15,350.0
CS-A62-02,full,40,350.0
CS-A63-01,top-up,15,200.0
CS-A63-01,full,40,200.0
CS-A64-01,top-up,15,175.0
CS-A64-01,full,40,175.0
CS-A65-01,top-up,15,175.0
CS-A65-01,full,40,175.0
CS-A7-01,top-up,15,300.0
CS-A7-01,full,40,300.0
CS-A71-01,top-up,15,150.0
CS-A71-01,full,40,150.0
CS-A72-01,top-up,15,350.0
CS-A72-01,full,40,350.0
CS-A75-01,top-up,15,350.0
CS-A75-01,full,40,350.0
CS-A77-01,top-up,15,250.0
CS-A77-01,full,40,250.0
CS-A8-01,top-up,15,350.0
CS-A8-01,full,40,350.0
CS-A8-02,top-up,15,350.0
CS-A8-02,full,40,350.0
CS-A81-01,top-up,15,350.0
CS-A81-01,full,40,350.0
CS-A83-01,top-up,15,200.0
CS-A83-01,full,40,200.0
CS-A84-01,top-up,15,350.0
CS-A84-01,full,40,350.0
CS-A84-02,top-up,15,350.0
CS-A84-02,full,40,350.0
CS-A85-01,top-up,15,250.0
CS-A85-01,full,40,250.0
CS-A89-01,top-up,15,350.0
CS-A89-01,full,40,350.0
CS-A89-02,top-up,15,300.0
CS-A89-02,full,40,300.0
CS-A89-03,top-up,15,175.0
CS-A89-03,full,40,175.0
