from_name,to_name,road_ref,road_class,distance_km,free_flow_speed_kph,peak_speed_kph
Lille,CS-A1-01,A1,Express,105.8,130,105
Bordeaux,CS-A10-01,A10,Express,336.5,130,105
Bordeaux,CS-A10-04,A10,Motorway,55.2,130,95
Orleans,CS-A10-02,A10,Motorway,61.7,130,95
Orleans,CS-A10-03,A10,Motorway,69.4,130,95
Chartres,CS-A11-02,A11,Motorway,72.8,130,95
Nantes,CS-A11-01,A11,Express,168.6,130,105
Caen,CS-A13-01,A13,Express,124.1,130,105
Caen,CS-A13-03,A13,Motorway,75.3,130,95
Le Havre,CS-A13-02,A13,Express,99.0,130,105
Chateauroux,CS-A20-02,A20,Motorway,52.9,130,95
Limoges,CS-A20-01,A20,Express,153.3,130,105
Lille,CS-A26-01,A26,Express,114.9,130,105
Alencon,CS-A28-01,A28,Motorway,68.6,130,95
Amiens,CS-A29-02,A29,Motorway,112.3,130,95
Le Havre,CS-A29-01,A29,Express,129.1,130,105
Dijon,CS-A31-01,A31,Express,140.1,130,105
Dijon,CS-A31-02,A31,Express,100.5,130,105
Lyon,CS-A36-01,A36,Express,268.8,130,105
Metz,CS-A4-02,A4,Motorway,83.7,130,95
Paris,CS-A4-01,A4,Express,253.3,130,105
Paris,CS-A5-01,A5,Motorway,73.6,130,95
Auxerre,CS-A6-02,A6,Motorway,76.6,130,95
Lyon,CS-A6-01,A6,Express,258.5,130,105
Marseille,CS-A61-01,A61,Express,181.8,130,105
Montpellier,CS-A61-02,A61,Express,144.8,130,105
Agen,CS-A62-02,A62,Motorway,62.7,130,95
Bordeaux,CS-A62-01,A62,Express,127.7,130,105
Bordeaux,CS-A63-01,A63,Motorway,79.3,130,95
Tarbes,CS-A64-01,A64,Motorway,79.3,130,95
Bordeaux,CS-A65-01,A65,Motorway,50.7,130,95
Lyon,CS-A7-01,A7,Express,159.8,130,105
Clermont-Ferrand,CS-A71-01,A71,Express,232.1,130,105
Clermont-Ferrand,CS-A72-01,A72,Motorway,54.3,130,95
Clermont-Ferrand,CS-A75-01,A75,Motorway,115.6,130,95
Montargis,CS-A77-01,A77,Motorway,69.4,130,95
Aix-en-Provence,CS-A8-02,A8,Motorway,54.1,130,95
Marseille,CS-A8-01,A8,Express,93.7,130,105
Paris,CS-A81-01,A81,Express,178.4,130,105
Bordeaux,CS-A83-01,A83,Express,153.7,130,105
Caen,CS-A84-01,A84,Express,88.9,130,105
Rennes,CS-A84-02,A84,Motorway,62.6,130,95
Tours,CS-A85-01,A85,Motorway,57.4,130,95
Bordeaux,CS-A89-01,A89,Express,231.5,130,105
Bordeaux,CS-A89-04,A89,Motorway,56.7,130,95
