from_name,to_name,road_ref,road_class,distance_km,free_flow_speed_kph,peak_speed_kph
CS-A1-01,Paris,A1,Express,119.2,130,105
CS-A10-01,Paris,A10,Express,248.5,130,105
CS-A10-02,Paris,A10,Motorway,67.0,130,95
CS-A10-03,Tours,A10,Motorway,55.6,130,95
CS-A10-04,Saintes,A10,Motorway,62.1,130,95
CS-A11-01,Paris,A11,Express,216.4,130,105
CS-A11-02,Le Mans,A11,Motorway,51.6,130,95
CS-A13-01,Paris,A13,Express,110.9,130,105
CS-A13-02,Paris,A13,Express,101.0,130,105
CS-A13-03,Rouen,A13,Motorway,52.8,130,95
CS-A20-01,Toulouse,A20,Express,161.7,130,105
CS-A20-02,Limoges,A20,Motorway,78.8,130,95
CS-A26-01,Reims,A26,Express,90.1,130,105
CS-A28-01,Rouen,A28,Motorway,87.4,130,95
CS-A29-01,Lille,A29,Express,190.9,130,105
CS-A29-02,Le Havre,A29,Motorway,77.4,130,95
CS-A31-01,Paris,A31,Express,174.9,130,105
CS-A31-02,Lyon,A31,Express,94.5,130,105
CS-A36-01,Strasbourg,A36,Express,221.2,130,105
CS-A4-01,Strasbourg,A4,Express,236.7,130,105
CS-A4-02,Strasbourg,A4,Motorway,67.5,130,95
CS-A5-01,Troyes,A5,Motorway,90.1,130,95
CS-A6-01,Paris,A6,Express,206.5,130,105
CS-A6-02,Chalon-sur-Saone,A6,Motorway,96.0,130,95
CS-A61-01,Toulouse,A61,Express,218.2,130,105
CS-A61-02,Toulouse,A61,Express,100.2,130,105
CS-A62-01,Toulouse,A62,Express,117.3,130,105
CS-A62-02,Bordeaux,A62,Motorway,74.4,130,95
CS-A63-01,Dax,A63,Motorway,72.6,130,95
CS-A64-01,Toulouse,A64,Motorway,57.3,130,95
CS-A65-01,Mont-de-Marsan,A65,Motorway,71.7,130,95
CS-A7-01,Marseille,A7,Express,155.2,130,105
CS-A71-01,Paris,A71,Express,192.9,130,105
CS-A72-01,Saint-Etienne,A72,Motorway,70.8,130,95
CS-A75-01,Millau,A75,Motorway,100.9,130,95
CS-A77-01,Nevers,A77,Motorway,65.9,130,95
CS-A8-01,Nice,A8,Express,106.3,130,105
CS-A8-02,Frejus,A8,Motorway,67.2,130,95
CS-A81-01,Rennes,A81,Express,171.6,130,105
CS-A83-01,Nantes,A83,Express,186.3,130,105
CS-A84-01,Rennes,A84,Express,91.1,130,105
CS-A84-02,Saint-Lo,A84,Motorway,75.6,130,95
CS-A85-01,Vierzon,A85,Motorway,65.7,130,95
CS-A89-01,Lyon,A89,Express,318.5,130,105
CS-A89-02,Lyon,A89,Express,74.7,130,105
CS-A89-03,Clermont-Ferrand,A89,Motorway,83.9,130,95
CS-A89-04,Perigueux,A89,Motorway,70.0,130,95
CS-A9-01,Montpellier,A9,Express,73.3,130,105
CS-N10-01,Bordeaux,N10,Trunk,63.1,110,80
CS-N10-02,Poitiers,N10,Trunk,73.0,110,80
CS-N102-01,Le Puy-en-Velay,N102,Trunk,58.8,110,80
CS-N12-01,Saint-Brieuc,N12,Trunk,88.6,110,80
CS-N122-01,Clermont-Ferrand,N122,Trunk,56.1,110,80
CS-N13-01,Cherbourg-en-Cotentin,N13,Trunk,53.7,110,80
CS-N137-01,Rennes,N137,Trunk,58.3,110,80
CS-N147-01,Poitiers,N147,Trunk,67.5,110,80
CS-N164-01,Saint-Brieuc,N164,Trunk,59.9,110,80
CS-N165-01,Vannes,N165,Trunk,57.9,110,80
CS-N176-01,Saint-Lo,N176,Trunk,99.2,110,80
CS-N21-01,Tarbes,N21,Trunk,58.2,110,80
CS-N21-02,Perigueux,N21,Trunk,79.9,110,80
CS-N24-01,Rennes,N24,Trunk,86.6,110,80
CS-N4-01,Sens,N4,Trunk,69.5,110,80
CS-N4-02,Strasbourg,N4,Trunk,79.9,110,80
CS-N4-03,Sens,N4,Trunk,72.2,110,80
CS-N6-01,Dijon,N6,Trunk,71.3,110,80
CS-N63-01,Metz,N63,Trunk,69.7,110,80
CS-N70-01,Montlucon,N70,Trunk,113.6,110,80
CS-N78-01,Nevers,N78,Trunk,89.8,110,80
CS-N79-01,Moulins,N79,Trunk,79.4,110,80
